FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
A,Annual,BGR,Bulgaria,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),URB,Urban area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,53.89873226,53.82077646,53.74282066,53.66486486,53.58690906,53.50895325,53.43099745,53.35304165,53.27508585,55.06233539,56.85901151,58.66511422,60.48064352,62.3055994,64.26100717,66.29056875,68.3342702,70.39211154,72.30366177,74.215212,76.12676222
A,Annual,BGR,Bulgaria,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),_T,Total,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,50.98889339,50.83995755,50.70176125,50.56548615,50.43131257,50.29901878,50.16856971,50.04006087,49.91346259,51.41793406,53.13918148,54.93685786,56.76194021,58.61381858,60.58086782,62.62218021,64.69305504,66.79304934,68.60083817,70.4127472,72.22877412
A,Annual,BHR,Bahrain,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),_T,Total,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,68.17329223,69.38425755,70.59947504,71.81378837,73.02782993,74.24183286,75.45579717,76.66972285,77.8836099,79.09745833,80.31126813,81.5250393,82.73877185,83.95246578,85.16612107,86.37973774,87.59331579,88.80685521,90.020356,91.23381816,91.23381816
A,Annual,BIH,Bosnia and Herzegovina,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),URB,Urban area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,6.451039657,6.258206813,6.065373968,5.872541124,5.67970828,5.485950161,5.292257079,5.098629033,4.905066024,4.711568051,6.988779402,9.382566142,11.78832159,14.27709561,16.82460093,19.42881152,22.0330221,24.63723268,27.24144327,29.84565385,29.84565385
A,Annual,BIH,Bosnia and Herzegovina,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),_T,Total,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,16.94551357,17.60289939,18.25262314,18.89493456,19.52948975,20.15754743,20.77816248,21.39091474,21.99616503,22.59390874,24.79573784,27.07620718,29.36756438,31.59672788,33.67336859,35.32234032,36.97916446,38.64421651,40.31840048,,
A,Annual,BLR,Belarus,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),RUR,Rural area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,73.61166756,73.61166756,73.61166756,73.61166756,72.13728711,70.5147693,68.9073048,67.31493643,65.73770706,64.17565952,62.62883665,61.0972813,59.58103631,58.08014452,56.59464879,55.08058009,53.58438418,52.4337724,51.28316062,50.13254885,48.98193707
A,Annual,BLR,Belarus,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),URB,Urban area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,88.66876772,88.66876772,88.66876772,88.66876772,88.27281185,87.85940479,87.42857192,86.98033858,86.51473016,86.031772,85.53148947,85.01390793,84.47905275,83.92694929,83.35762292,82.14899663,80.94148674,80.78758511,80.63368349,80.47978186,80.32588023
A,Annual,BLR,Belarus,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),_T,Total,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,84.14757409,84.22060135,84.29302577,84.36469803,83.73662938,83.06430915,82.39375312,81.72436819,81.05577273,80.38677775,79.73070574,79.07971425,78.42808759,77.7751513,77.11997598,75.97225663,74.83018213,74.58773863,74.3512062,74.12021631,73.89504618
A,Annual,BOL,Bolivia,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),URB,Urban area,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,38.12393867,38.81252561,39.50111256,40.18969951,40.87828646,41.5668734,42.25546035,43.41764174,44.59501085,45.78756766,46.99531219,48.21824444,49.4563644,50.70967207,51.97816746,53.26185056,54.56072137,55.8747799,57.20402614,58.5484601,59.90808177
A,Annual,BOL,Bolivia,WB_CLEAR_NAT_SAN_SM,National sanitation safely managed (%),_T,Total,PT_POP,Percentage of population,WB_CLEAR,Climate and Economic Analyses for Resilience in Water (CLEAR Water),0,Units,A,Normal value,PU,Public,27.98748229,28.91301607,29.82490728,30.73120179,31.63453919,32.53443214,33.43165522,34.72125995,36.02920376,37.35459872,38.6975507,40.05816061,41.43604754,42.81789635,44.20886732,45.61717777,47.04296958,48.48564858,49.94654184,51.4255202,52.92221398
